27;C27.00;Coppée (Rue François);;Montpellier Centre;Figuerolles;43.605097;3.859633;Ville de Montpellier
28;C28.00;Vanières (Avenue de);(face à la Piscine la Chamberte);Croix d'Argent;Pas du Loup;43.597265;3.843298;Ville de Montpellier
29;C29.00;Marché aux Fleurs (Place du);(façade Préfecture);Montpellier Centre;Centre Historique;43.611136;3.877181;Ville de Montpellier
30;C30.02;Boussairolles (Rue);(angle Rue Vanneau);Montpellier Centre;Comédie;43.608297;3.880851;Ville de Montpellier
31;C31.02;Thèbes (Rue de);(Place du Nombre d'Or);Montpellier Centre;Antigone;43.608264;3.888597;Ville de Montpellier
32;C32.02;Leroy-Beaulieu (Place);(angle Rue G.Pellicier et Avenue de Lodève);Montpellier Centre;Les Arceaux;43.608976;3.866929;Ville de Montpellier
33;C33.02;Aiguillerie (Rue de l');(Place Notre Dame d'Étables);Montpellier Centre;Centre Historique;43.612202;3.879164;Ville de Montpellier
34;C34.02;Huile (Rue de l');(Place du petit scel);Montpellier Centre;Centre Historique;43.610116;3.873961;Ville de Montpellier
35;C35.02;Palais des Guilhem (Rue du);(Place de la Canourgue);Montpellier Centre;Centre Historique;43.611405;3.874374;Ville de Montpellier
36;C36.02;Malet (Esplanade Léo);(Avenue de Lodève);Les Cévennes;Celleneuve;43.614848;3.83054;Ville de Montpellier
37;C37.02;Narbonnaise (Rue de la);(angle Avenue du Biterrois);Nord;Les Hauts de Massane;43.632666;3.81986;Ville de Montpellier
38;C38.02;Edmond (Impasse);(crèche Galinéta);Les Cévennes;Alco;43.622007;3.841838;Ville de Montpellier
39;C39.02;Pas du Loup (Rue du);(angle gymnase M.Cerdan);Croix d'Argent;Pas du Loup;43.599528;3.847248;Ville de Montpellier
40;C40.02;Hôtel de Ville;(parking des Élus);Montpellier Centre;Comédie;43.609746;3.883957;Ville de Montpellier
41;C41.02;Cannau (Rue du);(angle Rue Girone et Rue Delpech);Montpellier Centre;Centre Historique;43.611778;3.878076;Ville de Montpellier
42;C42.02;Bruyas (Passage);(angle Boulevard Sarrail);Montpellier Centre;Comédie;43.609219;3.880216;Ville de Montpellier
43;C43.02;Molière (Place);(angle Rue du Cygne et Rue des Étuves);Montpellier Centre;Comédie;43.607701;3.877936;Ville de Montpellier
44;C44.02;Araucacias (Rue des);(groupe scolaire Delteil);Les Cévennes;Alco;43.615818;3.838304;Ville de Montpellier
45;C45.03;Poitiers (Avenue Guilhem de);;Nord;Les Hauts de Massane;43.641725;3.818327;Ville de Montpellier
46;C46.03;Barcelone (Avenue de);(angle Rue de Leyde);Nord;Mosson;43.623658;3.817394;Ville de Montpellier
47;C47.03;Oxford (Rue d');;Nord;Mosson;43.627065;3.819656;Ville de Montpellier
48;C48.03;Leyde (Rue de);(proximité passerelle du Grand Mail);Nord;Mosson;43.623699;3.816543;Ville de Montpellier
49;C49.03;Foch (Rue);(angle Rue Astruc);Montpellier Centre;Centre Historique;43.611018;3.874141;Ville de Montpellier
50;C50.03;Jaumes (Place François);(angle Rue Isidore Gérard);Montpellier Centre;Gares;43.605255;3.883915;Ville de Montpellier
51;C51.03;Saint Denis (Place);;Montpellier Centre;Gambetta;43.605348;3.874723;Ville de Montpellier
52;C52.03;Salengro (Place Roger);;Montpellier Centre;Figuerolles;43.607318;3.866815;Ville de Montpellier
53;C53.03;Fourier (Place);(Rue Cheng Du/Place de Chine);Croix d'Argent;Pas du Loup;43.593338;3.843394;Ville de Montpellier
54;C54.03;Foucauld (Impasse Charles de);(angle collège Croix d'Argent);Croix d'Argent;Croix d'Argent;43.590849;3.865946;Ville de Montpellier
55;C55.03;Dalcroze (Rue Jacques);(gymnase Jouanique);Les Cévennes;Alco;43.621113;3.847391;Ville de Montpellier
56;C56.03;Vendémiaire (Rue de);;Port Marianne;Port Marianne;43.603081;3.898686;Ville de Montpellier
57;C57.04;Razeteurs (Rue des);;Sud;Saint Martin;43.595766;3.884509;Ville de Montpellier
58;C58.04;Chauliac (Pont Raymond);(Quai du Pyrée);Port Marianne;Port Marianne;43.609056;3.896952;Ville de Montpellier
59;C59.04;Ganges (Route de);(CHR de Lapeyronie);Nord;Hôpitaux Facultés;43.631178;3.853711;Ville de Montpellier
60;C60.04;Domitienne (Voie);;Montpellier Centre;Boutonnet;43.620703;3.858047;Ville de Montpellier
61;C61.04;Thessalie (Place de);;Montpellier Centre;Antigone;43.608035;3.891058;Ville de Montpellier
62;C62.04;Horloge (Passage de l');;Montpellier Centre;Comédie;43.608674;3.883506;Ville de Montpellier
63;C63.04;Près d'Arènes (Rond-Point des);;Sud;Près d'Arènes;43.589806;3.890441;Ville de Montpellier
64;C64.04;Einstein (Avenue Albert);;Port Marianne;Millénaire;43.612185;3.930088;Ville de Montpellier
65;C65.04;Moulin (Grand-Rue Jean);;Montpellier Centre;Comédie;43.608059;3.877603;Ville de Montpellier
66;C66.04;Valedeau (Rue);(angle Rue Jacques Cœur);Montpellier Centre;Comédie;43.610041;3.879146;Ville de Montpellier
67;C67.04;Bonnier d'Alco (Rue);(angle Rue de l'Université);Montpellier Centre;Centre Historique;43.611846;3.876363;Ville de Montpellier
68;C68.04;Pila Saint Gély (Rue du);;Montpellier Centre;Comédie;43.613777;3.880282;Ville de Montpellier
69;C69.04;Verdanson (Quai du);(angle Rue Ferdinand Fabre);Montpellier Centre;Les Beaux Arts;43.615174;3.877358;Ville de Montpellier
70;C70.05;Agropolis (Avenue);(Zoo Henri de Lunaret);Nord;Aiguelongue;43.640147;3.872848;Ville de Montpellier
71;C71.05;Ponge (Place Françis);;Montpellier Centre;Comédie;43.609093;3.884248;Ville de Montpellier
72;C72.05;Chapelle Neuve (Place de la);(angle Rue des Écoles Laïques/Rue de l'Aiguillerie);Montpellier Centre;Centre Historique;43.612962;3.879137;Ville de Montpellier
73;C73.05;Saint Pierre (Rue);;Montpellier Centre;Centre Historique;43.612392;3.874812;Ville de Montpellier
74;C74.05;Henri IV (Boulevard);(angle École de Médecine);Montpellier Centre;Centre Historique;43.612898;3.872754;Ville de Montpellier
75;C75.05;Clémenceau (Avenue Georges);(angle Rue Joseph Vidal);Montpellier Centre;Gambetta;43.602778;3.870872;Ville de Montpellier
76;C76.05;Aiguillerie (Rue de l');(angle Rue Foch);Montpellier Centre;Centre Historique;43.610687;3.877927;Ville de Montpellier
77;C77.05;Gaulle (Esplanade Charles de);;Montpellier Centre;Comédie;43.610579;3.881411;Ville de Montpellier
78;C78.05;Foch (Rue);(angle Boulevard du Professeur Louis  Vialleton);Montpellier Centre;Centre Historique;43.611221;3.872394;Ville de Montpellier
79;C79.05;Schuman (Place Robert);(terminus L1 Mosson);Nord;Mosson;43.62007;3.817612;Ville de Montpellier
80;C80.05;Cardenal (Rue Pierre);;Nord;Les Hauts de Massane;43.63828;3.818725;Ville de Montpellier
81;C81.05;Tipasa (Rue de);;Nord;Mosson;43.629011;3.816648;Ville de Montpellier
82;C82.05;Comédie (Place de la);(Théatre);Montpellier Centre;Comédie;43.608431;3.879671;Ville de Montpellier
83;C83.06;Heidelberg (Avenue de);(angle Avenue de Louisville);Nord;Mosson;43.627078;3.815662;Ville de Montpellier
84;C84.06;Naples (Avenue de);(palais des sports de Coubertin);Nord;Les Hauts de Massane;43.638302;3.815135;Ville de Montpellier
85;C85.06;Comté de Nice (Avenue du);(centre commercial Tritons);Nord;Les Hauts de Massane;43.641842;3.813994;Ville de Montpellier
86;C86.06;Huit Mai 1945 (Place du);;Croix d'Argent;Lemasson;43.600993;3.868227;Ville de Montpellier
87;C87.06;Pompignane (Avenue de la);(angle Avenue Alphonse Juin);Port Marianne;La Pompignane;43.618102;3.897303;Ville de Montpellier
88;C88.06;Courreau (Faubourg du);(angle Rue Plantade);Montpellier Centre;Centre Historique;43.608408;3.870724;Ville de Montpellier
89;C89.06;Gambetta (Cours);;Montpellier Centre;Gambetta;43.607114;3.870876;Ville de Montpellier
90;C90.06;Ollivier (Rue Aristide);;Montpellier Centre;Comédie;43.606511;3.882394;Ville de Montpellier
91;C91.06;Four Saint Elois (Rue du);(angle Rue de la Confrérie);Montpellier Centre;Centre Historique;43.613146;3.876047;Ville de Montpellier
92;C92.06;Université (Rue de l');(angle Rue Sainte Ursule);Montpellier Centre;Centre Historique;43.614233;3.877376;Ville de Montpellier
93;C93.06;Rondelet (Rue);;Montpellier Centre;Gambetta;43.602716;3.875018;Ville de Montpellier
94;C94.07;Moulins (Avenue des);(Rond-Point de la Lyre);Nord;Hôpitaux Facultés;43.639764;3.846744;Ville de Montpellier
95;C95.07;Bologne (Rue de);(proche Église Saint Paul);Nord;Les Hauts de Massane;43.630863;3.821222;Ville de Montpellier
96;C96.07;Rimbaud (Rue Paul);(face Rue Cante-Gril - collège Las Cazes);Les Cévennes;Les Cévennes;43.619102;3.847884;Ville de Montpellier
97;C97.07;Bringuier (Avenue);(Allée Françoise Sagan);Les Cévennes;Alco;43.614871;3.839545;Ville de Montpellier
98;C98.07;Colucci dit Coluche (Rue Michel);(angle Avenue Villeneuve d'Angoulème);Sud;Croix d'Argent;43.588211;3.865711;Ville de Montpellier
99;C99.07;Pont Juvénal (Avenue du);(Le Lez - Esplanade de l'Europe);Montpellier Centre;Antigone;43.606427;3.897421;Ville de Montpellier
100;C100.07;Proudhon (Rue);(angle Place des Beaux Arts);Montpellier Centre;Les Beaux Arts;43.615873;3.880958;Ville de Montpellier
101;C101.07;Bellay (Rue Joachim du);(angle Rue Ronsard -Cité Gély);Montpellier Centre;Figuerolles;43.606817;3.859608;Ville de Montpellier
102;C102.07;Saint Jaumes (Rue du);(angle Avenue Chancel);Montpellier Centre;Les Arceaux;43.615339;3.869532;Ville de Montpellier
103;C103.07;Faubeaurg de Nîmes (Rue du);(Corum - ascenseurs/arrêt tramway);Montpellier Centre;Comédie;43.614397;3.882068;Ville de Montpellier
104;C104.08;Fès (Avenue de);;Nord;Hôpitaux Facultés;43.633796;3.832387;Ville de Montpellier
105;C105.08;Adanson (Avenue Aglaé);;Nord;Hôpitaux Facultés;43.632514;3.830822;Ville de Montpellier
106;C106.08;Malbosc (Rue de);(collège Alco);Nord;Mosson;43.625535;3.83241;Ville de Montpellier
107;C107.08;Lavérune (Route de);(MPT Marcel Pagnol);Croix d'Argent;La Chamberte;43.601274;3.851317;Ville de Montpellier
108;C108.08;Flandres-Dunkerque (Place);;Croix d'Argent;Estanove;43.590344;3.855737;Ville de Montpellier
109;C109.08;Danton (Rue);(Cité Paul Valérie);Croix d'Argent;Pas du Loup;43.598959;3.843952;Ville de Montpellier
110;C110.08;Cheng-Du (Rue de);(MPT Michel Colucci);Croix d'Argent;Pas du Loup;43.593954;3.840608;Ville de Montpellier
111;C111.08;Mas Saint Pierre (Rue du);(face Rue du Mas de Portaly);Sud;Près d'Arènes;43.581096;3.881548;Ville de Montpellier
112;C112.08;Pont de Lattes (Rue du);;Montpellier Centre;Gares;43.605536;3.882346;Ville de Montpellier
113;C113.08;Blanc (Boulevard Louis);;Montpellier Centre;Centre Historique;43.614891;3.877506;Ville de Montpellier
114;C114.08;Saragosse (Rue de);(angle Rue Salamanque);Nord;Mosson;43.624683;3.818566;Ville de Montpellier
